City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,invercargill,-46.4,168.35,14.45,64,94,5.81,NZ,1723350444
1,port-aux-francais,-49.35,70.2167,4.24,92,100,13.71,TF,1723350445
2,beitbridge,-22.2167,30.0,17.1,27,0,1.11,ZW,1723350446
3,west island,-12.1568,96.8225,28.99,65,67,4.12,CC,1723350447
4,carnarvon,-24.8667,113.6333,22.68,63,0,4.3,AU,1723350449
5,adamstown,-25.066,-130.1015,18.43,64,85,8.39,PN,1723350450
6,fougamou,-1.2154,10.5838,23.01,85,100,0.95,GA,1723350451
7,edinburgh of the seven seas,-37.0676,-12.3116,12.96,89,100,14.48,SH,1723350452
8,yellowknife,62.456,-114.3525,21.29,56,100,5.14,CA,1723350453
9,waitangi,-43.9535,-176.5597,9.9,79,6,2.64,NZ,1723350455
10,barcelos,41.5388,-8.6151,22.73,92,19,0.89,PT,1723350456
11,quellon,-43.1167,-73.6167,6.2,87,100,2.45,CL,1723350457
12,ushuaia,-54.8,-68.3,-0.19,93,0,1.54,AR,1723350458
13,puerto ayora,-0.7393,-90.3518,18.64,99,61,3.89,EC,1723350460
14,grytviken,-54.2811,-36.5092,-11.01,68,67,1.9,GS,1723350461
15,isafjordur,66.0755,-23.124,5.83,90,98,2.52,IS,1723350462
16,chernyshevskiy,63.0128,112.4714,17.18,66,94,2.79,RU,1723350463
17,buala,-8.145,159.5921,24.93,91,100,3.31,SB,1723350465
18,huarmey,-10.0681,-78.1522,16.7,85,52,4.04,PE,1723350466
19,blackmans bay,-43.0167,147.3167,18.18,51,83,0.89,AU,1723350467
20,almeirim,-1.5233,-52.5817,22.51,95,86,1.64,BR,1723350468
21,mangai,-4.05,19.5333,21.88,75,73,0.96,CD,1723350469
22,luderitz,-26.6481,15.1594,13.68,76,86,5.36,NA,1723350471
23,port alfred,-33.5906,26.891,15.1,89,48,0.45,ZA,1723350472
24,prince rupert,54.3161,-130.3201,14.05,97,100,2.06,CA,1723350473
25,lihue,21.9789,-159.3672,27.77,72,75,5.66,US,1723350474
26,zyryanskoye,56.8306,86.6258,14.19,88,100,2.97,RU,1723350476
27,puri,19.8,85.85,31.27,69,100,3.07,IN,1723350477
28,tiksi,71.6872,128.8694,10.97,66,93,9.63,RU,1723350478
29,kaoma,-14.7833,24.8,11.39,38,0,2.12,ZM,1723350479
30,pisco,-13.7,-76.2167,13.34,88,40,1.03,PE,1723350480
31,cooper's town,26.8667,-77.5167,28.87,76,6,3.54,BS,1723350482
32,laguna,38.421,-121.4238,28.71,43,0,2.06,US,1723350210
33,la sarre,48.8002,-79.1996,11.69,97,97,2.6,CA,1723350484
34,port mathurin,-19.6833,63.4167,22.19,66,96,10.68,MU,1723350485
35,yarim,14.298,44.3779,16.05,72,100,2.21,YE,1723350486
